Date,Open,High,Low,Close,Adj Close,Volume
2020-02-10,41166.71875,41172.05859,40798.98047,40979.62109,40979.62109,15200
2020-02-11,41183.39063,41444.33984,41179.14063,41216.14063,41216.14063,7700
2020-02-12,41330.85156,41671.85938,41330.85156,41565.89844,41565.89844,9600
2020-02-13,41707.21094,41709.30078,41338.30859,41459.78906,41459.78906,9100
2020-02-14,41510.19141,41702.35938,41183.12891,41257.73828,41257.73828,9800
2020-02-17,41324.03906,41420.33984,41030.57813,41055.69141,41055.69141,6900
2020-02-18,41042.46094,41042.46094,40610.94922,40894.37891,40894.37891,12300
2020-02-19,41121.51172,41357.16016,41048.92969,41323,41323,5600
2020-02-20,41334.96094,41399.92969,41134.30859,41170.12109,41170.12109,8400
2020-02-24,41037.01172,41037.01172,40306.35938,40363.23047,40363.23047,8100
2020-02-25,40497.71875,40536,40220.58984,40281.19922,40281.19922,7300
2020-02-26,40194.89063,40255.39063,39760.39063,39888.96094,39888.96094,9000
2020-02-27,39947.80078,39947.80078,39423.26953,39745.66016,39745.66016,9600
2020-02-28,39087.46875,39087.46875,38219.96875,38297.28906,38297.28906,12700
2020-03-02,38910.94922,39083.17188,37785.98828,38144.01953,38144.01953,13400
2020-03-03,38480.89063,38754.23828,38142.30078,38623.69922,38623.69922,10600
2020-03-04,38715.71875,38791.69922,37846.10156,38409.48047,38409.48047,15300
2020-03-05,38604.25,38887.80078,38386.67969,38470.60938,38470.60938,13500
2020-03-06,37613.96094,37747.07031,37011.08984,37576.62109,37576.62109,19000
2020-03-09,36950.19922,36950.19922,35109.17969,35634.94922,35634.94922,18800
2020-03-11,35468.89844,36021.51172,35261.92188,35697.39844,35697.39844,27900
2020-03-12,34472.5,34472.5,32493.09961,32778.14063,32778.14063,25200
2020-03-13,31214.13086,34769.48047,29388.9707,34103.48047,34103.48047,32600
2020-03-16,33103.23828,33103.23828,31276.30078,31390.07031,31390.07031,18100
2020-03-17,31611.57031,32047.98047,30394.93945,30579.08984,30579.08984,21500
2020-03-18,30968.83984,31101.76953,28613.05078,28869.50977,28869.50977,31300
2020-03-19,27773.35938,29370.5293,26714.46094,28288.23047,28288.23047,33200
2020-03-20,28460.82031,30418.19922,27932.66992,29915.96094,29915.96094,32100
2020-03-23,27608.80078,27900.83008,25880.83008,25981.24023,25981.24023,21800
2020-03-24,27056.23047,27462.86914,25638.90039,26674.0293,26674.0293,24700
2020-03-25,26499.81055,28790.18945,26359.91016,28535.7793,28535.7793,141500
2020-03-26,29073.71094,30099.91016,28566.33984,29946.76953,29946.76953,35000
2020-03-27,30747.81055,31126.0293,29346.99023,29815.58984,29815.58984,116900
2020-03-30,29226.55078,29497.57031,28290.99023,28440.32031,28440.32031,23200
2020-03-31,29294.93945,29770.88086,28667.35938,29468.49023,29468.49023,26400
2020-04-01,29505.33008,29505.98047,28073.42969,28265.31055,28265.31055,18000
2020-04-03,28623.5293,28639.11914,27500.78906,27590.94922,27590.94922,18900
2020-04-07,28898.35938,30157.65039,28602.31055,30067.21094,30067.21094,21900
2020-04-08,29701.91992,31227.9707,29602.93945,29893.96094,29893.96094,24700
